Row ID,Order ID,Customer ID,Customer Name,City,State,Postal Code,Product ID,Product Name,Sales,Quantity,Discount,Profit,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables,Order Year,Order Month,Ship Days
1,CA-2016-152156,CG-12520,Claire Gute,Henderson,Kentucky,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2016,11,3
2,CA-2016-152156,CG-12520,Claire Gute,Henderson,Kentucky,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2016,11,3
3,CA-2016-138688,DV-13045,Darrin Van Huff,Los Angeles,California,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2016,6,4
4,US-2015-108966,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2015,10,7
5,US-2015-108966,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2015,10,7
6,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2014,6,5
7,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,OFF-AR-10002833,Newell 322,7.28,4,0.0,1.9656,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,5
8,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2014,6,5
9,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,5
10,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,5
